
2004,2023-03-05,10:44:48.232596
2005,2023-03-05,10:44:52.828890
2006,2023-03-05,10:44:54.800555
2007,2023-03-05,10:44:59.459841
2008,2023-03-05,10:45:01.517716
2013,2023-03-05,10:45:09.034058
2009,2023-03-05,10:45:12.362807
2010,2023-03-05,10:45:17.591528
2011,2023-03-05,10:45:21.529482
2012,2023-03-05,10:45:30.285386
2014,2023-03-05,10:46:12.794761
2015,2023-03-05,10:46:15.688320
2016,2023-03-05,10:46:22.563274
2017,2023-03-05,10:46:27.471048
2018,2023-03-05,10:46:34.313957
2019,2023-03-05,10:46:44.424018
2020,2023-03-05,10:46:51.377795
2021,2023-03-05,10:46:55.327962
2023,2023-03-05,10:47:02.231348
2022,2023-03-05,10:47:05.478526
2026,2023-03-05,10:47:27.940270
2024,2023-03-05,10:47:33.075394
2027,2023-03-05,10:47:33.079388
2025,2023-03-05,10:47:33.081627
2028,2023-03-05,10:47:59.495047
2031,2023-03-05,10:48:09.017431
2029,2023-03-05,10:48:15.657884
2030,2023-03-05,10:48:22.266939
